,model,loss,score
0,dnn_model_0,7.369369029998779,99.65341703555336
1,dnn_model_1,6.827297210693359,99.63215659403491
2,dnn_model_2,7.794524192810059,99.53218786740938
3,dnn_model_3,7.437599182128906,99.3262958367406
4,dnn_model_4,9.492796897888184,99.30959206283032
5,dnn_model_5,8.444671630859375,99.21479210210727
