Time,cpu,mem,replica,responsetime
2020-07-17 09:00:21.067,0.07608235324752717,37007360.0,5.0,1.447690394115788
2020-07-17 09:00:36.067,0.5109274203393205,247332864.0,5.0,2.6376866440479447
2020-07-17 09:00:51.067,0.9382821997148313,711827456.0,9.0,4.804932226914727
2020-07-17 09:01:06.067,1.3042062649150974,789782528.0,1.0,6.803156801419588
2020-07-17 09:01:21.067,1.566620870490519,2289934336.0,1.0,8.373311520639335
2020-07-17 09:01:36.067,1.5201209044272732,2585034752.0,1.0,24.32250989141791
2020-07-17 09:01:51.067,1.5678057088638235,3175362560.0,1.0,27.798753844043482
2020-07-17 09:02:06.067,1.6129605085001546,3848560640.0,1.0,32.03513135549994
2020-07-17 09:02:21.067,1.606914458381818,3925504000.0,1.0,38.16363708575008
2020-07-17 09:02:36.067,1.5886156123472948,4696088576.0,1.0,42.29050528969759
2020-07-17 09:02:51.067,1.5785643906838058,5117628416.0,1.0,47.06478088657682
2020-07-17 09:03:06.067,1.5535565325721352,5438500864.0,1.0,51.654921754982354
2020-07-17 09:03:21.067,1.585587629709091,5709594624.0,1.0,56.389061123298376
2020-07-17 09:03:36.067,1.5386594367272726,6221651968.0,1.0,59.37194120752467
2020-07-17 09:03:51.067,1.535725822773303,6806466560.0,1.0,59.76637172582675
2020-07-17 09:04:06.067,1.075349050597762,6806466560.0,1.0,60.171521031549226
