cpuDT,cpuSec,memDT,memUsage_modified,reqDT,reqCount,res200DT,res200Count,res502DT,res502Count,resDT,resTime
2020-05-17 08:56:20,435.14,2020-05-17 08:56:20,0.157560832,2020-05-17 08:57:20,40.0,2020-05-17 08:57:30,780.0,2020-05-17 09:00:50,1046.0,2020-05-17 08:57:20,12878.382153
2020-05-17 08:56:30,465.4,2020-05-17 08:56:30,0.196158464,2020-05-17 08:57:30,45.0,2020-05-17 08:57:40,781.0,2020-05-17 09:01:00,1092.0,2020-05-17 08:57:30,14567.717619
2020-05-17 08:56:40,495.65,2020-05-17 08:56:40,0.26313728,2020-05-17 08:57:40,42.0,2020-05-17 08:57:50,781.0,2020-05-17 09:01:10,1135.0,2020-05-17 08:57:40,15543.707471
2020-05-17 08:56:50,525.02,2020-05-17 08:56:50,0.327834624,2020-05-17 08:57:50,38.0,2020-05-17 08:58:00,781.0,2020-05-17 09:01:20,1181.0,2020-05-17 08:57:50,16298.993602
2020-05-17 08:57:00,557.75,2020-05-17 08:57:00,0.355848192,2020-05-17 08:58:00,43.0,2020-05-17 08:58:10,782.0,2020-05-17 09:01:30,1223.0,2020-05-17 08:58:00,16467.707121
2020-05-17 08:57:10,586.53,2020-05-17 08:57:10,0.42551808,2020-05-17 08:58:10,44.0,2020-05-17 08:58:20,783.0,2020-05-17 09:01:40,1262.0,2020-05-17 08:58:10,16848.487742
2020-05-17 08:57:20,615.75,2020-05-17 08:57:20,0.474712064,2020-05-17 08:58:20,44.0,2020-05-17 08:58:30,783.0,2020-05-17 09:01:50,1312.0,2020-05-17 08:58:20,18682.518831
2020-05-17 08:57:30,646.1,2020-05-17 08:57:30,0.501054464,2020-05-17 08:58:30,38.0,2020-05-17 08:58:40,784.0,2020-05-17 09:02:00,1353.0,2020-05-17 08:58:30,19086.960522
2020-05-17 08:57:40,677.6500000000001,2020-05-17 08:57:40,0.587974656,2020-05-17 08:58:40,46.0,2020-05-17 08:58:50,785.0,2020-05-17 09:02:10,1397.0,2020-05-17 08:58:40,21390.844807
2020-05-17 08:57:50,705.47,2020-05-17 08:57:50,0.597209088,2020-05-17 08:58:50,39.0,2020-05-17 08:59:00,786.0,2020-05-17 09:02:20,1443.0,2020-05-17 08:58:50,21556.016571
2020-05-17 08:58:00,740.14,2020-05-17 08:58:00,0.68396032,2020-05-17 08:59:00,43.0,2020-05-17 08:59:10,787.0,2020-05-17 09:02:30,1486.0,2020-05-17 08:59:00,22573.858765
2020-05-17 08:58:10,769.28,2020-05-17 08:58:10,0.700424192,2020-05-17 08:59:10,43.0,2020-05-17 08:59:20,787.0,2020-05-17 09:02:40,1526.0,2020-05-17 08:59:10,23959.970106
2020-05-17 08:58:20,799.15,2020-05-17 08:58:20,0.767439872,2020-05-17 08:59:20,47.0,2020-05-17 08:59:30,787.0,2020-05-17 09:02:50,1571.0,2020-05-17 08:59:20,25089.19243
2020-05-17 08:58:30,830.0699999999999,2020-05-17 08:58:30,0.853458944,2020-05-17 08:59:30,40.0,2020-05-17 08:59:40,787.0,2020-05-17 09:03:00,1613.0,2020-05-17 08:59:30,26361.505744
2020-05-17 08:58:40,860.21,2020-05-17 08:58:40,0.893370368,2020-05-17 08:59:40,49.0,2020-05-17 08:59:50,787.0,2020-05-17 09:03:10,1666.0,2020-05-17 08:59:40,25762.090142
2020-05-17 08:58:50,891.42,2020-05-17 08:58:50,0.948246528,2020-05-17 08:59:50,38.0,2020-05-17 09:00:00,787.0,2020-05-17 09:03:20,1700.0,2020-05-17 08:59:50,26492.846806
2020-05-17 08:59:00,917.27,2020-05-17 08:59:00,0.932656128,2020-05-17 09:00:00,45.0,2020-05-17 09:00:10,787.0,2020-05-17 09:03:30,1748.0,2020-05-17 09:00:00,27409.692807
2020-05-17 08:59:10,948.6700000000001,2020-05-17 08:59:10,1.052672,2020-05-17 09:00:10,43.0,2020-05-17 09:00:20,787.0,2020-05-17 09:03:40,1792.0,2020-05-17 09:00:10,27982.152752
2020-05-17 08:59:20,978.9300000000001,2020-05-17 08:59:20,1.060758528,2020-05-17 09:00:20,40.0,2020-05-17 09:00:30,787.0,2020-05-17 09:03:50,1834.0,2020-05-17 09:00:20,29738.244156
2020-05-17 08:59:30,1011.94,2020-05-17 08:59:30,1.141008384,2020-05-17 09:00:30,47.0,2020-05-17 09:00:40,787.0,2020-05-17 09:04:00,1887.0,2020-05-17 09:00:30,29635.008063
2020-05-17 08:59:40,1042.1799999999998,2020-05-17 08:59:40,1.142243328,2020-05-17 09:00:40,50.0,2020-05-17 09:00:50,787.0,2020-05-17 09:04:10,1921.0,2020-05-17 09:00:40,31234.103367
2020-05-17 08:59:50,1069.17,2020-05-17 08:59:50,1.209299968,2020-05-17 09:00:50,37.0,2020-05-17 09:01:00,787.0,2020-05-17 09:04:20,1968.0,2020-05-17 09:00:50,31906.775604
2020-05-17 09:00:00,1101.4299999999998,2020-05-17 09:00:00,1.259409408,2020-05-17 09:01:00,42.0,2020-05-17 09:01:10,787.0,2020-05-17 09:04:30,2010.0,2020-05-17 09:01:00,32227.751502
2020-05-17 09:00:10,1132.53,2020-05-17 09:00:10,1.284279296,2020-05-17 09:01:10,50.0,2020-05-17 09:01:20,787.0,2020-05-17 09:04:40,2063.0,2020-05-17 09:01:10,34371.097091
2020-05-17 09:00:20,1159.49,2020-05-17 09:00:20,1.356865536,2020-05-17 09:01:20,37.0,2020-05-17 09:01:30,787.0,2020-05-17 09:04:50,2113.0,2020-05-17 09:01:20,35766.58191
2020-05-17 09:00:30,1190.3,2020-05-17 09:00:30,1.387398144,2020-05-17 09:01:30,47.0,2020-05-17 09:01:40,787.0,2020-05-17 09:05:00,2141.0,2020-05-17 09:01:30,35665.28535
2020-05-17 09:00:40,1221.09,2020-05-17 09:00:40,1.4011136,2020-05-17 09:01:40,45.0,2020-05-17 09:01:50,787.0,2020-05-17 09:05:10,2188.0,2020-05-17 09:01:40,37726.598505
