Time,cpu,diskio,diskioRead,diskioWritten,mem,networkReceived,networkTransmitted,replica,requests,responsetime,totalcpuUtilization,totalmemoryUtilization
2020-08-16 10:45:32.483,6.429532946299575,0.010133333333333402,0.0,83012.26666666666,0.40345191955566406,4943.133333333333,18418.82222222222,1.0,144.0,0.41038369799999996,17.722222222222236,12.302152118665791
2020-08-16 10:45:47.483,9.5808063069801,0.009600000000000048,0.0,59164.444444444445,0.40345191955566406,4887.733333333334,15743.777777777777,1.0,144.0,0.411763774,17.74444444444446,12.245091210922254
2020-08-16 10:46:02.483,12.5730347646099,0.01048888888888876,0.0,62441.24444444444,0.41594505310058594,4928.266666666666,17968.466666666667,1.0,143.0,0.411173479,17.74444444444446,12.245091210922254
2020-08-16 10:46:17.483,12.55266115357582,0.01022222222222224,0.0,57890.13333333333,0.41594505310058594,4888.0888888888885,15263.31111111111,1.0,144.0,0.418690273,17.85925925925927,12.186250721220485
2020-08-16 10:46:32.483,12.581426463842648,0.010844444444444434,0.0,63351.46666666667,0.6814479827880859,5225.977777777777,18319.555555555555,1.0,176.0,0.433827502,17.85925925925927,12.186250721220485
2020-08-16 10:46:47.483,12.581426463842648,0.009866666666666723,0.0,58982.4,0.6814479827880859,5853.222222222222,16813.51111111111,1.0,209.0,0.42239927699999996,19.41481481481486,12.24025858468704
2020-08-16 10:47:02.483,16.984966576412134,0.010755555555555595,0.0,64807.82222222222,0.6814479827880859,6474.022222222222,19997.933333333334,1.0,244.0,0.423705485,19.41481481481486,12.24025858468704
2020-08-16 10:47:17.483,16.984966576412134,0.01031111111111108,0.0,60984.88888888888,0.6618499755859375,6731.8,17539.688888888886,1.0,278.0,0.420279815,27.596296296296295,12.29903376862888
2020-08-16 10:47:47.483,24.687172033775365,0.011644444444444464,0.0,65718.04444444444,0.6618499755859375,6797.244444444444,19581.62222222222,1.0,295.0,0.563545497,27.596296296296295,12.29903376862888
2020-08-16 10:48:17.483,28.962013935336312,0.010933333333333272,0.0,61713.066666666666,0.4359722137451172,7054.644444444444,17325.17777777778,1.0,308.0,0.5186116439999999,31.00370370370374,12.288388929759412
2020-08-16 10:48:32.483,28.962013935336312,0.01777777777777787,0.0,91568.35555555555,0.4779338836669922,8058.266666666666,28567.62222222222,5.0,322.0,0.525293533,31.00370370370374,12.288388929759412
2020-08-16 10:48:47.483,29.7914251463228,0.019999999999999966,0.0,105949.86666666667,0.862884521484375,11141.044444444444,32097.48888888889,5.0,338.0,0.431055232,40.64444444444447,12.378902713029838
2020-08-16 10:49:02.483,29.80128078796541,0.020266666666666645,0.0,112776.53333333334,0.9066581726074219,11248.933333333332,35059.46666666667,9.0,333.0,0.599175459,40.64444444444447,12.378902713029838
2020-08-16 10:49:17.483,27.385068411649954,0.023644444444444447,0.0,131345.06666666668,0.6158351898193359,11630.4,37119.97777777778,9.0,336.0,0.7281113659999999,42.255730096306024,12.754329200458317
2020-08-16 10:49:32.483,27.792599159599224,0.01973333333333329,0.0,114596.97777777776,1.219034194946289,8770.666666666666,33680.46666666667,9.0,337.0,0.867091498,42.255730096306024,12.754329200458317
2020-08-16 10:49:47.483,21.036240103877198,0.024177777777777798,0.0,140083.2,1.312112808227539,9496.777777777777,38795.71111111111,13.0,332.0,0.8266929679999999,37.66296296296292,12.487783741282088
