Time,replica
2020-08-11 21:44:38.705,1.0
2020-08-11 21:44:53.705,1.0
2020-08-11 21:45:08.705,1.0
2020-08-11 21:45:23.705,1.0
2020-08-11 21:45:38.705,1.0
2020-08-11 21:45:53.705,1.0
2020-08-11 21:46:08.705,1.0
2020-08-11 21:46:23.705,1.0
2020-08-11 21:46:38.705,1.0
2020-08-11 21:46:53.705,1.0
2020-08-11 21:47:08.705,1.0
2020-08-11 21:47:23.705,1.0
2020-08-11 21:47:38.705,1.0
2020-08-11 21:47:53.705,1.0
2020-08-11 21:48:08.705,5.0
2020-08-11 21:48:23.705,5.0
2020-08-11 21:48:38.705,5.0
2020-08-11 21:48:53.705,9.0
2020-08-11 21:49:08.705,9.0
2020-08-11 21:49:23.705,13.0
