Time,cpu,mem,replica,requests,responsetime,totalcpu,totalmemory
2020-07-22 23:19:07.130,8.231974077e-05,82354176.0,1.0,82.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:12.130,0.00010050102465333335,142700544.0,1.0,83.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:17.130,0.00014672480230555553,83759104.0,1.0,98.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:22.130,0.00017214245511750002,65626112.0,1.0,114.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:27.130,0.00021461624471733336,76525568.0,1.0,129.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:32.130,0.00024067219501944443,88084480.0,1.0,152.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:37.130,0.00028540240948571425,64249856.0,1.0,170.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:42.130,0.0003117024926604166,128544768.0,1.0,189.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:47.130,0.0003542232491433333,90550272.0,1.0,213.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:52.130,0.00038226655385100003,113754112.0,1.0,233.0,2.024919,2.0,8362713088.0
2020-07-22 23:19:57.130,0.05581545640192334,39428096.0,1.0,246.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:02.130,0.13514457005502215,106098688.0,1.0,270.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:07.130,0.17801720053055395,121004032.0,1.0,288.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:12.130,0.2474190747223197,104747008.0,1.0,309.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:17.130,0.29392048289789635,129998848.0,1.0,308.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:22.130,0.3472885411970954,115597312.0,1.0,301.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:27.130,0.408132360150507,54439936.0,1.0,283.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:32.130,0.45791580298795515,72835072.0,1.0,261.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:37.130,0.5217391667972142,136945664.0,1.0,248.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:42.130,0.5689433917560439,90767360.0,1.0,225.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:47.130,0.6259170351389591,138526720.0,1.0,202.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:52.130,0.6809420909090909,135725056.0,1.0,180.0,2.024919,2.0,8362713088.0
2020-07-22 23:20:57.130,0.6940609610727272,128192512.0,1.0,163.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:02.130,0.7754093077636364,125136896.0,1.0,142.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:07.130,0.8453354910363635,109432832.0,1.0,130.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:12.130,0.8896009685454545,82173952.0,1.0,112.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:17.130,0.9778415694545455,106676224.0,1.0,94.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:22.130,1.0211445867818183,67022848.0,1.0,85.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:27.130,1.0896642281818183,137768960.0,1.0,83.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:32.130,1.172598083472727,149155840.0,1.0,84.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:37.130,1.207929636272727,131739648.0,1.0,81.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:42.130,1.3072412266,108257280.0,1.0,80.0,2.024919,2.0,8362713088.0
2020-07-22 23:21:47.130,1.3429795410545453,141332480.0,1.0,83.0,3.006716,2.0,8362713088.0
2020-07-22 23:21:52.130,1.3759866112363635,165326848.0,1.0,87.0,3.006716,2.0,8362713088.0
2020-07-22 23:21:57.130,1.3844625664363637,96378880.0,1.0,86.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:02.130,1.4092427592909087,132034560.0,1.0,85.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:07.130,1.4475110944181817,122785792.0,1.0,83.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:12.130,1.4614728745636363,124731392.0,1.0,78.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:17.130,1.4916647458363634,132599808.0,1.0,80.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:22.130,1.5251865242,87441408.0,1.0,79.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:27.130,1.5269361279272728,109408256.0,1.0,79.0,3.006716,2.0,8362713088.0
2020-07-22 23:22:32.130,1.6023465243454547,100356096.0,1.0,84.0,4.769729,2.0,8362713088.0
2020-07-22 23:22:37.130,1.5577733964334726,149254144.0,1.0,82.0,4.769729,2.0,8362713088.0
2020-07-22 23:22:42.130,1.612877967825845,84692992.0,1.0,82.0,4.769729,2.0,8362713088.0
2020-07-22 23:22:47.130,1.6342286418801955,94748672.0,1.0,82.0,1.274454,2.0,8362713088.0
2020-07-22 23:22:52.130,1.6285972895373735,169635840.0,1.0,78.0,1.274454,2.0,8362713088.0
2020-07-22 23:22:57.130,1.619460532028283,161275904.0,1.0,80.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:02.130,1.631415708519192,133271552.0,1.0,86.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:07.130,1.6236408057191918,111894528.0,1.0,84.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:12.130,1.6294481637919194,126775296.0,1.0,84.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:17.130,1.6003974781191919,197775360.0,1.0,81.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:22.130,1.6383550300828282,163655680.0,1.0,82.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:27.130,1.5920557603945515,141459456.0,1.0,83.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:32.130,1.6270728687396245,138797056.0,1.0,80.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:37.130,1.6572707776414062,150978560.0,1.0,78.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:42.130,1.630260642254545,159698944.0,1.0,79.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:47.130,1.6348868493272728,182784000.0,1.0,80.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:52.130,1.6330997376909089,159076352.0,1.0,81.0,1.274454,2.0,8362713088.0
2020-07-22 23:23:57.130,1.6535496548181816,198643712.0,1.0,83.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:02.130,1.7021645812,214560768.0,1.0,79.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:07.130,1.6871490869818182,134283264.0,1.0,78.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:12.130,1.7170015496727271,93556736.0,1.0,80.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:17.130,1.6652608348,131272704.0,1.0,91.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:22.130,1.7327540626517266,127524864.0,1.0,107.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:27.130,1.7286229107441093,110088192.0,1.0,135.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:32.130,1.706670909439467,147357696.0,1.0,144.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:37.130,1.7262776015723382,110428160.0,1.0,173.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:42.130,1.7309020076739212,122642432.0,1.0,193.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:47.130,1.7382372561443467,138403840.0,1.0,208.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:52.130,1.7338448598959162,132960256.0,1.0,230.0,1.274454,2.0,8362713088.0
2020-07-22 23:24:57.130,1.675525353233093,210358272.0,1.0,246.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:02.130,1.683227764369382,149667840.0,1.0,260.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:07.130,1.7163344321750595,188375040.0,1.0,284.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:12.130,1.7056449076209965,118689792.0,1.0,301.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:17.130,1.6631026438361534,203722752.0,1.0,311.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:22.130,1.6723268742051713,149528576.0,1.0,301.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:27.130,1.6584291327919682,86790144.0,1.0,275.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:32.130,1.655346871215157,154140672.0,1.0,266.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:37.130,1.6970793073446393,172355584.0,1.0,234.0,1.274454,2.0,8362713088.0
2020-07-22 23:25:42.130,1.6788420691662043,171364352.0,1.0,214.0,1.274454,2.0,8362713088.0
