Time,replica
2020-07-24 12:23:57.620,1.0
2020-07-24 12:24:12.620,1.0
2020-07-24 12:24:27.620,1.0
2020-07-24 12:24:42.620,1.0
2020-07-24 12:24:57.620,1.0
2020-07-24 12:25:12.620,1.0
2020-07-24 12:25:27.620,1.0
2020-07-24 12:25:42.620,1.0
2020-07-24 12:25:57.620,1.0
2020-07-24 12:26:12.620,1.0
2020-07-24 12:26:27.620,1.0
2020-07-24 12:26:42.620,1.0
2020-07-24 12:26:57.620,1.0
2020-07-24 12:27:12.620,1.0
2020-07-24 12:27:27.620,1.0
2020-07-24 12:27:42.620,1.0
2020-07-24 12:27:57.620,1.0
2020-07-24 12:28:12.620,1.0
2020-07-24 12:28:27.620,1.0
2020-07-24 12:28:42.620,1.0
