Time,replica
2020-07-31 10:55:28.323,1.0
2020-07-31 10:55:43.323,1.0
2020-07-31 10:55:58.323,1.0
2020-07-31 10:56:13.323,1.0
2020-07-31 10:56:28.323,1.0
2020-07-31 10:56:43.323,1.0
2020-07-31 10:56:58.323,1.0
2020-07-31 10:57:13.323,1.0
2020-07-31 10:57:28.323,1.0
2020-07-31 10:57:43.323,1.0
2020-07-31 10:57:58.323,1.0
2020-07-31 10:58:13.323,1.0
2020-07-31 10:58:28.323,1.0
2020-07-31 10:58:43.323,1.0
2020-07-31 10:58:58.323,1.0
2020-07-31 10:59:13.323,1.0
2020-07-31 10:59:28.323,1.0
2020-07-31 10:59:43.323,1.0
