Time,cpu,diskio,diskioRead,diskioWritten,mem,networkReceived,networkTransmitted,replica,requests,responsetime,totalcpu,totalcpuUtilization,totalmemory,totalmemoryUtilization
2020-10-10 11:16:27.164,9.958132542264787,0.0,0.0,2922.4240517298854,0.019788742065429688,829.5818817634382,891.3773881741217,1.0,16.0,0.912021616,2.0,63.873122453058656,12404584448.0,7.330045201086887
2020-10-10 11:16:57.164,13.589863946358358,0.006418960000000043,922.5284266666665,87986.14869333334,0.019788742065429688,744866.9574333334,6527.7444799999985,1.0,32.0,0.905741584,6.0,63.873122453058656,12404584448.0,37.56995799201271
2020-10-10 11:17:12.164,13.539800372500858,0.15191111111111116,1001.2444444444444,11831978.666666664,0.019788742065429688,3649452.666666666,15798.111111111111,1.0,49.0,0.888829399,6.0,26.283557985454173,12404584448.0,37.56995799201271
2020-10-10 11:17:27.164,5.6339166708333375,0.1519144869885998,1001.2666948154404,11830603.168959312,0.20346641540527344,3661378.230627348,16975.310562456943,1.0,65.0,0.901063794,6.0,26.283557985454173,12404584448.0,37.396602759121606
2020-10-10 11:17:42.164,7.2442915945647295,0.14693333333333328,273.06666666666666,11768991.288888887,0.20346641540527344,3087268.6,13670.911111111109,1.0,66.0,0.89349302,6.0,23.183333333333344,12404584448.0,37.396602759121606
2020-10-10 11:17:57.164,17.28280095444685,8.888888888883963e-05,0.0,6644.622222222221,0.27413368225097656,39315.35555555555,4709.88888888889,1.0,66.0,0.8958705210000001,6.0,23.183333333333344,12404584448.0,37.653070113366624
2020-10-10 11:18:27.164,27.06551829450807,0.0001777777777777582,0.0,10922.666666666666,0.2781867980957031,41964.77777777778,4345.288888888888,1.0,66.0,0.9029275240000001,6.0,22.42777777777783,12404584448.0,37.653070113366624
2020-10-10 11:18:42.164,28.091587135393,8.888888888891856e-05,0.0,4460.088888888889,0.2781867980957031,41610.311111111114,4700.31111111111,1.0,75.0,0.9305277540000001,6.0,22.42777777777783,12404584448.0,37.81775762781939
2020-10-10 11:18:57.164,29.39000419222693,0.00017777382724834274,182.0403991022422,7099.575564987445,0.2781867980957031,41555.87653607698,4332.925934979223,1.0,91.0,0.899883428,6.0,22.43888888888885,12404584448.0,37.81775762781939
2020-10-10 11:19:12.164,18.58060556702747,0.0001777777777777582,182.0444444444444,7281.777777777777,0.4158973693847656,39905.77777777778,4723.155555555555,1.0,108.0,0.9196460329999999,6.0,22.43888888888885,12404584448.0,37.868823116629
2020-10-10 11:19:27.164,39.78777143027336,0.0001777777777777582,182.0444444444444,7918.9333333333325,0.4158973693847656,48826.177777777775,4865.577777777778,1.0,123.0,0.920841013,6.0,30.416051344350898,12404584448.0,37.868823116629
2020-10-10 11:19:57.164,44.0752142669549,8.889086424137834e-05,0.0,5461.4546989933115,0.5412101745605469,60155.336785261905,6018.555967910399,1.0,139.0,0.9021542909999999,6.0,30.416051344350898,12404584448.0,37.764413172240666
2020-10-10 11:20:12.164,44.0752142669549,0.0,0.0,1456.3555555555554,0.6511211395263672,72360.97777777776,6404.7555555555555,1.0,154.0,0.9413646379999999,6.0,36.644444444444474,12404584448.0,37.764413172240666
2020-10-10 11:20:27.164,47.36961852959979,8.888888888891856e-05,0.0,2548.622222222222,0.6511211395263672,77578.7111111111,7034.488888888888,1.0,169.0,0.9201315870000001,6.0,36.644444444444474,12404584448.0,36.87480275667252
2020-10-10 11:20:42.164,47.36961852959979,8.888888888891856e-05,0.0,2184.5333333333333,0.6511211395263672,84926.68888888888,7246.0,1.0,185.0,0.980581939,6.0,43.438888888888904,12404584448.0,36.87480275667252
2020-10-10 11:20:57.164,47.84396345799803,8.888888888891856e-05,0.0,2821.6888888888884,0.7595539093017578,94297.73333333334,8401.488888888889,1.0,195.0,1.092835558,6.0,43.438888888888904,12404584448.0,36.95469451842393
2020-10-10 11:21:12.164,47.84396345799803,0.0,0.0,1729.4222222222222,0.7595539093017578,106764.26666666666,11459.6,1.0,204.0,1.048821747,6.0,48.78333333333337,12404584448.0,36.95469451842393
2020-10-10 11:21:27.164,45.45074623179229,0.0,0.0,2912.7111111111108,1.0601043701171875,112628.95555555554,12056.733333333335,1.0,213.0,1.012606444,6.0,48.78333333333337,12404584448.0,36.98000422857967
2020-10-10 11:21:42.164,45.45074623179229,0.0,0.0,1819.9995556641709,1.0601043701171875,114658.48348181555,11842.2385639066,1.0,219.0,0.96778175,6.0,52.81111111111107,12404584448.0,36.98000422857967
2020-10-10 11:21:57.164,35.46640612838246,0.0,0.0,2366.5777777777776,0.9403705596923828,116921.51111111109,10035.133333333333,1.0,225.0,1.156210137,6.0,52.81111111111107,12404584448.0,37.00798860812951
2020-10-10 11:22:12.164,35.98534511680364,0.0,0.0,1456.3555555555554,0.9403705596923828,123112.8,10094.0,1.0,224.0,1.6174239119999998,6.0,56.32182558205592,12404584448.0,37.00798860812951
2020-10-10 11:22:27.164,45.53092387558682,0.0001778212451932499,0.0,3004.467758785481,1.209306716918945,126735.66871902019,10716.930805307964,1.0,223.0,1.3613594480000002,6.0,56.32182558205592,12404584448.0,36.933148670487775
2020-10-10 11:22:42.164,45.53090254888295,0.0001777777777777582,0.0,1820.4444444444446,1.209306716918945,122877.8,10506.911111111109,1.0,218.0,1.1457206640000002,6.0,56.827777777777754,12404584448.0,36.933148670487775
2020-10-10 11:22:57.164,41.264097400711755,0.0003555555555555164,0.0,12470.044444444444,1.6751766204833984,118583.8,11102.355555555554,5.0,216.0,1.55001042,6.0,56.827777777777754,12404584448.0,37.10006482587317
